Recepciones de artículos — Netsuite
Documento	Orden de compra	Monto
IR411682	POHUE-002538	26.197.175
IR411683	POCDE-002237	1.500.021
IR411684	POCUR-002032	751.554
IR411687	POVLC-002737	3.784.964
IR411688	POHUE-002738	7.197.987
IR411689	POCDE-002487	128.154.798
IR411690	POVLC-002678	9.640.058
IR411884	POCUR-002733	1.985.816
IR411885	POTEM-003369	8.052.500
IR411916	POVLC-002708	5.643.181
IR412024	POCMA-002670	29.149.824
IR412028	POHUE-002753	102.466.400
IR412029	POVLC-002816	1.195.252
IR412030	POVLC-002817	21.576.749
IR412032	POVLC-002819	10.074.838
IR412033	POVLC-002820	89.420.367
IR412035	POVLC-002821	1.549.643
IR412116	POVLC-002822	9.840.669
IR412119	POABS(Nat)002643	4.105.304
IR411863	POABS(Nat)002442	22.727.694
IR411872	POCUR-002589	1.764.287
IR411886	POCUR-002558	592.285
IR411887	POCMA-002304	315.885
IR411888	POCHI-002668	315.885
IR411889	POCDE-002248	315.885
IR411890	POPEN-002470	315.885
IR411891	POABS(Nat)002293	256.657
IR411892	POTGS-001795	710.742
IR411893	PO009322	572.542
IR411894	POCDV-002662	315.885
IR411895	POTEM-003095	710.742
IR411896	POTGS-001795	710.742
IR411897	POPEN-002470	315.885
IR411898	POCDE-002248	315.885
IR411899	POCDV-002662	315.885
IR411900	POCHI-002668	315.885
IR411901	POCMA-002304	315.885
IR411902	POCUR-002558	592.285
IR411903	POABS(Nat)002293	256.657
IR411904	PO009322	572.542
IR411905	POTGS-001813	84.912
IR411906	POTEM-003114	88.178
IR411907	POMON-002761	88.178
IR411908	POPEN-002481	108.589
IR411909	PO009337	84.912
IR411910	POHUE-002438	108.589
IR392556	POCMA-002319	108.589
IR411911	POCHI-002682	102.058
IR411912	POCDV-002680	84.912
IR411913	POCUR-002571	84.912
IR411914	POABS(Nat)002308	169.824
IR411915	POCUR-002567	1.334.617
IR412015	POABS(Nat)002306	2.487.594
IR412016	POABS(Nat)002614	1.614.498
IR412017	POCMA-002344	163.292
IR412037	PO010681	372.500
IR412038	POABS(Nat)002323	1.976.000
IR412039	POCDV-002706	624.000
IR412040	POCDE-002272	624.000
IR412041	POVLC-002517	624.000
IR412042	POCHI-002708	312.000
IR412043	POCMA-002333	312.000
IR412113	PO009381	624.000
IR412114	POPEN-002496	3.120.000
IR412115	POHUE-002461	3.510.000
IR412046	POCDV-002699	39.486
IR412047	POCMA-002329	39.486
IR412048	POCHI-002702	39.486
IR412049	POTEM-003129	39.486
IR412052	POHUE-002455	39.486
IR412118	POABS(Nat)002644	14.473.633
