tipo	sede	proy	oc	rut	fecha	doc	neto	iva	total	ir
CAPEX	HUE	HUECN26501	POHUE-002538	76.664.873-8	01/07/2026	685	26197175	4977463	31174638	IR411682
CAPEX	CDE	CDESA26401	POCDE-002237	96.899.900-1	01/07/2026	240	1500021	285004	1785025	IR411683
CAPEX	CUR	CURNT22401	POCUR-002032	76.865.710-6	01/07/2026	2674	751554	142795	894349	IR411684
CAPEX	VLC	VLCAMP26401	POVLC-002737	77.696.522-7	02/07/2026	455	3784964	0	3784964	IR411687
CAPEX	HUE	HUECN26501	POHUE-002738	76.664.873-8	01/07/2026	686	7197987	1367618	8565605	IR411688
CAPEX	CDE	CDESA26401	POCDE-002487	77.209.755-7	01/07/2026	701	128154798	24349412	152504210	IR411689
CAPEX	VLC	VLCAMP26501	POVLC-002678	77.482.382-4	01/07/2026	368	9640058	1831611	11471669	IR411690
CAPEX	CUR	CURNT22401	POCUR-002733	76.865.710-6	02/07/2026	2683	1985816	377305	2363121	IR411884
CAPEX	TEM	TEMUN25402	POTEM-003369	76.276.027-4	30/06/2026	14063	8052500	1529975	9582475	IR411885
CAPEX	VLC	VLCAMP26401	POVLC-002708	77.427.208-9	02/07/2026	141	5643181	0	5643181	IR411916
CAPEX	CMA	CHCMA27101	POCMA-002670	78.468.760-0	02/07/2026	SINDOC	29149824	5538467	34688291	IR412024
CAPEX	HUE	HUECN27401	POHUE-002753	76.664.873-8	02/07/2026	687	102466400	19468616	121935016	IR412028
CAPEX	VLC	VLCAMP26401	POVLC-002816	77.696.522-7	02/07/2026	456	1195252	0	1195252	IR412029
CAPEX	VLC	VLCAMP27501	POVLC-002817	77.482.382-4	02/07/2026	369	21576749	4099582	25676331	IR412030
CAPEX	VLC	VLCAMP26401	POVLC-002819	77.536.484-K	02/07/2026	254	10074838	1914219	11989057	IR412032
CAPEX	VLC	VLCAMP27501	POVLC-002820	77.536.484-K	02/07/2026	255	89420367	16989870	106410237	IR412033
CAPEX	VLC	VLCAMP27501	POVLC-002821	76.711.064-2	03/07/2026	124	1549643	294432	1844075	IR412035
CAPEX	VLC	VLCAMP27501	POVLC-002822	78.197.982-1	03/07/2026	213	9840669	1869727	11710396	IR412116
CAPEX	ABS	ABSLTD26401	POABS(Nat)002643	77.770.264-5	03/07/2026	213	4105304	780008	4885312	IR412119
CAPEX	ABS	ABSLTD26401	POABS(Nat)002442	76.028.554-4	22/06/2026	14334	22727694	4318262	27045956	IR411863
MANT	CUR	68500	POCUR-002589	77.530.698-K	24/06/2026	606	1764287	335215	2099502	IR411872
MANT	CUR	68500	POCUR-002558	76.163.834-3	01/07/2026	22959	592285	112534	704819	IR411886
MANT	CMA	68500	POCMA-002304	76.163.834-3	01/07/2026	22957	315885	60018	375903	IR411887
MANT	CHI	68500	POCHI-002668	76.163.834-3	01/07/2026	22958	315885	60018	375903	IR411888
MANT	CDE	68500	POCDE-002248	76.163.834-3	01/07/2026	22955	315885	60018	375903	IR411889
MANT	PEN	68500	POPEN-002470	76.163.834-3	01/07/2026	22956	315885	60018	375903	IR411890
MANT	ABS	68500	POABS(Nat)002293	76.163.834-3	01/07/2026	22954	256657	48765	305422	IR411891
MANT	TGS	68500	POTGS-001795	76.163.834-3	01/07/2026	22951	710742	135041	845783	IR411892
MANT	MNU	68500	PO009322	76.163.834-3	01/07/2026	22953	572542	108783	681325	IR411893
MANT	CDV	68500	POCDV-002662	76.163.834-3	01/07/2026	22952	315885	60018	375903	IR411894
MANT	TEM	68500	POTEM-003095	76.163.834-3	01/07/2026	22950	710742	135041	845783	IR411895
MANT	TGS	68500	POTGS-001795	76.163.834-3	24/06/2026	22918	710742	135041	845783	IR411896
MANT	PEN	68500	POPEN-002470	76.163.834-3	25/06/2026	22936	315885	60018	375903	IR411897
MANT	CDE	68500	POCDE-002248	76.163.834-3	25/06/2026	22937	315885	60018	375903	IR411898
MANT	CDV	68500	POCDV-002662	76.163.834-3	25/06/2026	22938	315885	60018	375903	IR411899
MANT	CHI	68500	POCHI-002668	76.163.834-3	30/06/2026	22947	315885	60018	375903	IR411900
MANT	CMA	68500	POCMA-002304	76.163.834-3	30/06/2026	22948	315885	60018	375903	IR411901
MANT	CUR	68500	POCUR-002558	76.163.834-3	30/06/2026	22949	592285	112534	704819	IR411902
MANT	ABS	68500	POABS(Nat)002293	76.163.834-3	24/06/2026	22917	256657	48765	305422	IR411903
MANT	MNU	68500	PO009322	76.163.834-3	30/06/2026	22946	572542	108783	681325	IR411904
MANT	TGS	68500	POTGS-001813	76.257.832-8	01/07/2026	25846	84912	16133	101045	IR411905
MANT	TEM	68500	POTEM-003114	76.257.832-8	01/07/2026	25847	88178	16754	104932	IR411906
MANT	PTM	68500	POMON-002761	76.257.832-8	01/07/2026	25848	88178	16754	104932	IR411907
MANT	PEN	68500	POPEN-002481	76.257.832-8	01/07/2026	25849	108589	20632	129221	IR411908
MANT	MNU	68500	PO009337	76.257.832-8	01/07/2026	25850	84912	16133	101045	IR411909
MANT	HUE	68500	POHUE-002438	76.257.832-8	01/07/2026	25851	108589	20632	129221	IR411910
MANT	CMA	68500	POCMA-002319	76.257.832-8	01/07/2026	25852	108589	20632	129221	IR392556
MANT	CHI	68500	POCHI-002682	76.257.832-8	01/07/2026	25853	102058	19391	121449	IR411911
MANT	CDV	68500	POCDV-002680	76.257.832-8	01/07/2026	25854	84912	16133	101045	IR411912
MANT	CUR	68500	POCUR-002571	76.257.832-8	01/07/2026	25855	84912	16133	101045	IR411913
MANT	ABS	68500	POABS(Nat)002308	76.257.832-8	01/07/2026	25856	169824	32267	202091	IR411914
MANT	CUR	68500	POCUR-002567	77.552.839-7	01/07/2026	480	1334617	253577	1588194	IR411915
MANT	ABS	68500	POABS(Nat)002306	77.552.839-7	02/07/2026	481	2487594	472643	2960237	IR412015
